Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Hombres;01 Andalucía;Total;2024;54,00
Hombres;01 Andalucía;Total;2023;53,00
Hombres;01 Andalucía;Total;2022;52,57
Hombres;01 Andalucía;Total;2021;51,65
Hombres;01 Andalucía;Total;2020;50,67
Hombres;02 Aragón;Total;2024;59,60
Hombres;02 Aragón;Total;2023;59,32
Hombres;02 Aragón;Total;2022;58,97
Hombres;02 Aragón;Total;2021;58,04
Hombres;02 Aragón;Total;2020;57,00
Hombres;03 Asturias, Principado de;Total;2024;50,44
Hombres;03 Asturias, Principado de;Total;2023;47,41
Hombres;03 Asturias, Principado de;Total;2022;48,01
Hombres;03 Asturias, Principado de;Total;2021;49,05
Hombres;03 Asturias, Principado de;Total;2020;46,71
Hombres;04 Balears, Illes;Total;2024;62,74
Hombres;04 Balears, Illes;Total;2023;61,44
Hombres;04 Balears, Illes;Total;2022;62,38
Hombres;04 Balears, Illes;Total;2021;58,67
Hombres;04 Balears, Illes;Total;2020;56,43
Hombres;05 Canarias;Total;2024;56,02
Hombres;05 Canarias;Total;2023;55,75
Hombres;05 Canarias;Total;2022;53,81
Hombres;05 Canarias;Total;2021;47,74
Hombres;05 Canarias;Total;2020;48,17
Hombres;06 Cantabria;Total;2024;57,20
Hombres;06 Cantabria;Total;2023;55,63
Hombres;06 Cantabria;Total;2022;55,48
Hombres;06 Cantabria;Total;2021;54,71
Hombres;06 Cantabria;Total;2020;52,31
Hombres;07 Castilla y León;Total;2024;54,39
Hombres;07 Castilla y León;Total;2023;54,58
Hombres;07 Castilla y León;Total;2022;54,01
Hombres;07 Castilla y León;Total;2021;53,34
Hombres;07 Castilla y León;Total;2020;53,02
Hombres;08 Castilla - La Mancha;Total;2024;58,04
Hombres;08 Castilla - La Mancha;Total;2023;58,53
Hombres;08 Castilla - La Mancha;Total;2022;58,57
Hombres;08 Castilla - La Mancha;Total;2021;57,89
Hombres;08 Castilla - La Mancha;Total;2020;55,77
Hombres;09 Cataluña;Total;2024;61,32
Hombres;09 Cataluña;Total;2023;60,46
Hombres;09 Cataluña;Total;2022;59,78
Hombres;09 Cataluña;Total;2021;58,96
Hombres;09 Cataluña;Total;2020;57,37
Hombres;10 Comunitat Valenciana;Total;2024;56,84
Hombres;10 Comunitat Valenciana;Total;2023;57,45
Hombres;10 Comunitat Valenciana;Total;2022;57,02
Hombres;10 Comunitat Valenciana;Total;2021;54,33
Hombres;10 Comunitat Valenciana;Total;2020;54,17
Hombres;11 Extremadura;Total;2024;52,20
Hombres;11 Extremadura;Total;2023;52,89
Hombres;11 Extremadura;Total;2022;52,33
Hombres;11 Extremadura;Total;2021;51,25
Hombres;11 Extremadura;Total;2020;49,14
Hombres;12 Galicia;Total;2024;52,32
Hombres;12 Galicia;Total;2023;52,07
Hombres;12 Galicia;Total;2022;51,25
Hombres;12 Galicia;Total;2021;51,16
Hombres;12 Galicia;Total;2020;50,88
Hombres;13 Madrid, Comunidad de;Total;2024;61,93
Hombres;13 Madrid, Comunidad de;Total;2023;61,83
Hombres;13 Madrid, Comunidad de;Total;2022;61,77
Hombres;13 Madrid, Comunidad de;Total;2021;60,51
Hombres;13 Madrid, Comunidad de;Total;2020;58,89
Hombres;14 Murcia, Región de;Total;2024;58,19
Hombres;14 Murcia, Región de;Total;2023;58,90
Hombres;14 Murcia, Región de;Total;2022;58,30
Hombres;14 Murcia, Región de;Total;2021;59,58
Hombres;14 Murcia, Región de;Total;2020;57,36
Hombres;15 Navarra, Comunidad Foral de;Total;2024;59,16
Hombres;15 Navarra, Comunidad Foral de;Total;2023;57,67
Hombres;15 Navarra, Comunidad Foral de;Total;2022;57,70
Hombres;15 Navarra, Comunidad Foral de;Total;2021;54,91
Hombres;15 Navarra, Comunidad Foral de;Total;2020;56,22
Hombres;16 País Vasco;Total;2024;55,01
Hombres;16 País Vasco;Total;2023;57,43
Hombres;16 País Vasco;Total;2022;56,23
Hombres;16 País Vasco;Total;2021;54,34
Hombres;16 País Vasco;Total;2020;53,86
Hombres;17 Rioja, La;Total;2024;58,15
Hombres;17 Rioja, La;Total;2023;59,39
Hombres;17 Rioja, La;Total;2022;59,21
Hombres;17 Rioja, La;Total;2021;59,28
Hombres;17 Rioja, La;Total;2020;57,75
Mujeres;01 Andalucía;Total;2024;41,22
Mujeres;01 Andalucía;Total;2023;40,92
Mujeres;01 Andalucía;Total;2022;39,33
Mujeres;01 Andalucía;Total;2021;37,75
Mujeres;01 Andalucía;Total;2020;35,73
Mujeres;02 Aragón;Total;2024;48,49
Mujeres;02 Aragón;Total;2023;48,01
Mujeres;02 Aragón;Total;2022;47,37
Mujeres;02 Aragón;Total;2021;46,86
Mujeres;02 Aragón;Total;2020;45,83
Mujeres;03 Asturias, Principado de;Total;2024;42,41
Mujeres;03 Asturias, Principado de;Total;2023;40,96
Mujeres;03 Asturias, Principado de;Total;2022;38,97
Mujeres;03 Asturias, Principado de;Total;2021;39,84
Mujeres;03 Asturias, Principado de;Total;2020;39,58
Mujeres;04 Balears, Illes;Total;2024;53,28
Mujeres;04 Balears, Illes;Total;2023;52,75
Mujeres;04 Balears, Illes;Total;2022;52,14
Mujeres;04 Balears, Illes;Total;2021;49,73
Mujeres;04 Balears, Illes;Total;2020;46,97
Mujeres;05 Canarias;Total;2024;46,92
Mujeres;05 Canarias;Total;2023;44,84
Mujeres;05 Canarias;Total;2022;43,85
Mujeres;05 Canarias;Total;2021;40,94
Mujeres;05 Canarias;Total;2020;40,37
Mujeres;06 Cantabria;Total;2024;46,21
Mujeres;06 Cantabria;Total;2023;45,46
Mujeres;06 Cantabria;Total;2022;43,90
Mujeres;06 Cantabria;Total;2021;43,69
Mujeres;06 Cantabria;Total;2020;42,57
Mujeres;07 Castilla y León;Total;2024;44,20
Mujeres;07 Castilla y León;Total;2023;43,20
Mujeres;07 Castilla y León;Total;2022;43,99
Mujeres;07 Castilla y León;Total;2021;41,44
Mujeres;07 Castilla y León;Total;2020;41,74
Mujeres;08 Castilla - La Mancha;Total;2024;42,79
Mujeres;08 Castilla - La Mancha;Total;2023;43,18
Mujeres;08 Castilla - La Mancha;Total;2022;41,72
Mujeres;08 Castilla - La Mancha;Total;2021;40,82
Mujeres;08 Castilla - La Mancha;Total;2020;38,48
Mujeres;09 Cataluña;Total;2024;51,13
Mujeres;09 Cataluña;Total;2023;51,30
Mujeres;09 Cataluña;Total;2022;50,19
Mujeres;09 Cataluña;Total;2021;49,34
Mujeres;09 Cataluña;Total;2020;48,33
Mujeres;10 Comunitat Valenciana;Total;2024;46,30
Mujeres;10 Comunitat Valenciana;Total;2023;46,08
Mujeres;10 Comunitat Valenciana;Total;2022;45,06
Mujeres;10 Comunitat Valenciana;Total;2021;42,90
Mujeres;10 Comunitat Valenciana;Total;2020;41,96
Mujeres;11 Extremadura;Total;2024;40,51
Mujeres;11 Extremadura;Total;2023;39,40
Mujeres;11 Extremadura;Total;2022;38,62
Mujeres;11 Extremadura;Total;2021;36,32
Mujeres;11 Extremadura;Total;2020;36,11
Mujeres;12 Galicia;Total;2024;44,50
Mujeres;12 Galicia;Total;2023;43,99
Mujeres;12 Galicia;Total;2022;43,08
Mujeres;12 Galicia;Total;2021;42,00
Mujeres;12 Galicia;Total;2020;41,39
Mujeres;13 Madrid, Comunidad de;Total;2024;53,47
Mujeres;13 Madrid, Comunidad de;Total;2023;52,56
Mujeres;13 Madrid, Comunidad de;Total;2022;51,21
Mujeres;13 Madrid, Comunidad de;Total;2021;51,82
Mujeres;13 Madrid, Comunidad de;Total;2020;50,31
Mujeres;14 Murcia, Región de;Total;2024;46,16
Mujeres;14 Murcia, Región de;Total;2023;45,11
Mujeres;14 Murcia, Región de;Total;2022;44,67
Mujeres;14 Murcia, Región de;Total;2021;43,20
Mujeres;14 Murcia, Región de;Total;2020;41,38
Mujeres;15 Navarra, Comunidad Foral de;Total;2024;50,43
Mujeres;15 Navarra, Comunidad Foral de;Total;2023;48,35
Mujeres;15 Navarra, Comunidad Foral de;Total;2022;48,45
Mujeres;15 Navarra, Comunidad Foral de;Total;2021;49,05
Mujeres;15 Navarra, Comunidad Foral de;Total;2020;46,69
Mujeres;16 País Vasco;Total;2024;48,26
Mujeres;16 País Vasco;Total;2023;47,84
Mujeres;16 País Vasco;Total;2022;46,99
Mujeres;16 País Vasco;Total;2021;46,88
Mujeres;16 País Vasco;Total;2020;46,05
Mujeres;17 Rioja, La;Total;2024;47,57
Mujeres;17 Rioja, La;Total;2023;47,70
Mujeres;17 Rioja, La;Total;2022;48,67
Mujeres;17 Rioja, La;Total;2021;46,84
Mujeres;17 Rioja, La;Total;2020;46,66
